Growth on inorganic nitrogen agar	This test determines whether the microbe can grow in a medium containing inorganic nitrogen agar.	Positive/Negative	Growth with different C/N sources
Growth on Simmons citrate agar	This test determines whether the microbe can grow in a medium containing citrate agar.	Positive/Negative	Growth with different C/N sources
Growth on Thiocitrate Bile Salts agar	Characteristic of Vibrios	Positive/Negative	Growth with different C/N sources
KCN, growth	Can the organism grow in a medium where potassium cyanide is present as a carbon and nitrogen source.	Positive/Negative	Growth with different C/N sources
L-Rhamnose		Positive/Negative	Growth with different C/N sources
Malonate utilization	Can the organism use the compound malonate as its sole source of carbon and energy for growth.	Positive/Negative	Growth with different C/N sources
Myo-inositol		Positive/Negative	Growth with different C/N sources
Nitrate reduction	This test determines whether the microbe produces the enzymes nitrate reductase and nitrite reductase. The two enzymes catalyze two reactions involved in converting starting compound nitrate into end product nitrogen gas.	Positive/Negative	Growth with different C/N sources
Nutrient agar with 7.5% NaCl	This test determines whether the microbe can grow on a nutrient medium where the concentration of sodium chloride (NaCl) is 7.5%.	Positive/Negative	Growth with different C/N sources
Sucrose		Positive/Negative	Growth with different C/N sources
Tartrate, Jordans	Can the organism utilize the compound tartrate as a carbon source.	Positive/Negative	Growth with different C/N sources
Tween 40		Positive/Negative	Growth with different C/N sources
Acetate utilization	Can the organism ferment acetate as a carbon source.	Positive/Negative	Fermentation
alpha-CH2-D-glucoside, acid production		Positive/Negative	Fermentation
alpha-Methyl-D-glucoside, acid production		Positive/Negative	Fermentation
Amygdalin	Can the organism ferment amygdalin as a carbon source.	Positive/Negative	Fermentation
Cellobiose, acid production	Can the organism ferment the carbohydrate cellobiose as a carbon source.	Positive/Negative	Fermentation
D-Adonitol, acid production	Can the organism  ferment the carbohydrate adonitol as a carbon source.	Positive/Negative	Fermentation
D-Arabitol, acid production	Can the organism ferment the carbohydrate arabitol as a carbon source.	Positive/Negative	Fermentation
D-Galactose, acid production	Can the organism ferment the carbohydrate galactose as a carbon source.	Positive/Negative	Fermentation
D-Glucose, acid production	Can the organism ferment the carbohydrate glucose (also known as dextrose) as a carbon source.	Positive/Negative	Fermentation
D-Glucose, gas production	Can the organism ferment the carbohydrate glucose (also known as dextrose) as a carbon source, and to see if the fermentation products include gases.	Positive/Negative	Fermentation
D-Mannitol, acid production	Can the organism ferment the carbohydrate mannitol as a carbon source.	Positive/Negative	Fermentation
D-Mannose, acid production	Can the organism ferment the carbohydrate mannose as a carbon source.	Positive/Negative	Fermentation
D-Sorbitol, acid production	Can the organism ferment the carbohydrate sorbitol as a carbon source.	Positive/Negative	Fermentation
D-Xylose, acid production	Can the organism ferment the carbohydrate xylose as a carbon source.	Positive/Negative	Fermentation
Dulcitol, acid production	Can the organism ferment the carbohydrate dulcitol as a carbon source.	Positive/Negative	Fermentation
Glycerol, acid production	Can the organism ferment the carbohydrate glycerol as a carbon source.	Positive/Negative	Fermentation
L-Arabinose, acid production	Can the organism ferment the carbohydrate arabinose as a carbon source.	Positive/Negative	Fermentation
L-Rhamnose, acid production	Can the organism ferment the carbohydrate rhamnose as a carbon source.	Positive/Negative	Fermentation
Lactose, acid production	Can the organism ferment the carbohydrate lactose as a carbon source.	Positive/Negative	Fermentation
Maltose, acid production	Can the organism ferment the carbohydrate maltose as a carbon source.	Positive/Negative	Fermentation
Melibiose, acid production	Can the organism ferment the carbohydrate melibiose as a carbon source.	Positive/Negative	Fermentation
Methyl red growth	used to identify bacteria producing stable acids by mechanisms of mixed acid fermentation of glucose	Positive/Negative	Fermentation
Mucate, acid production	Can the organism ferment mucate as a carbon source.	Positive/Negative	Fermentation
myo-Inositol, acid production	Can the organism ferment the carbohydrate inositol as a carbon source.	Positive/Negative	Fermentation
Oxidation-fermentation	The oxidative-fermentative test is used to determine if gram-negative bacteria metabolize carbohydrates oxidatively, by fermentation, or are nonsacchrolytic and therefore have no ability to use the carbohydrate in the media. 	Positive/Negative	Fermentation
Raffinose, acid production	Can the organism ferment the carbohydrate raffinose as a carbon source.	Positive/Negative	Fermentation
Salicin, acid production	Can the organism ferment the carbohydrate salicin as a carbon source.	Positive/Negative	Fermentation
Sucrose, acid production	Can the organism ferment the carbohydrate sucrose as a carbon source.	Positive/Negative	Fermentation
Trehalose, acid production	Can the organism ferment the carbohydrate trehalose as a carbon source.	Positive/Negative	Fermentation
